"Thématiques","Critères","Accueil","Espace Plaisancier","Mentions légales","Accessibilité","FAQ","Aide",Mon tableau de bord (mode connecté),Déclarer la cession / vente d'un navire (mode connecté)
"9","1","nc|!F!Il manque une balise `<h1>`. ""Les actus de la mer"" devrait être dans un élément `<h2>`, chaque titre d'actu dans une élément `<h3>`. ""Informations générales"" et ""Liens utiles"" n'ont pas besoin d'être dans un `<hx>`","nc|!F!Il manque un `<h1>Espace plaisancier</h1>`. ""Se connecter"" et ""Payer le DAFN/DAP"" devraient être dans une balise `<h2>`. Retirer les balises `<hx>` d'""Informations générales"" et ""liens utiles""","nc|!F!`<h1>Mentions légales</h1>`, `<h2> Éditeur</h2>`, `<h2>Directeur de la publication</h2>`, `<h2> Hébergement </h2>`. Retirer les balises `<hx>` d'""Informations générales"" et ""liens utiles""","nc|!F!Mettre `<h1>Accessiblité</h1>` et les autres titres titres dans des balises `<h2>`. Retirer les balises `<hx>` d'""Informations générales"" et ""liens utiles""","nc|!F!`<h1>FAQ</h1>`, `<h2>Questions...</h2>` et chaque question dans une balise `<h3>`. Retirer les balises `<hx>` d'""Informations générales"" et ""liens utiles""","nc|!F!`<h1>Information et aide</h1>`, `<h2>Comment obtenir de l'aide</h2>` , `<h3>Plaisanciers</h3>`, `<h3>Professionnels de la plaisance</h3>`. Retirer les balises `<hx>` d'""Informations générales"" et ""liens utiles"".","nc|!F!`<h1>Mon tableau de bord</h1>`, `<h2>Mes navires</h2>` , `<h3>Ajouter un navire</h3>`, `<h2>Mes démarches</h2>`, `<h3>Déclarer l'acquisition d'un navire</h3>`, `<h3>Demander un duplicata de permis</h3>`. Retirer les balises `<hx>` d'""Informations générales"" et ""liens utiles"".","nc|!F!`<h1>Gérer mon navire : OCEAN (896559)</h1>`, `<h2>Déclarer la cession / vente d'un navire</h2>` , `<h3>Déclaration cession/vente</h3>`. Retirer les balises `<hx>` d'""Informations générales"", ""liens utiles"" et ""Total des parts de (co)propriété""."
"9","2","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'","nc|!F!Il manque les les balises structurantes suivantes : `<header>, `<nav>`, '<footer>'"
"9","3","c","nc|Une (voire plusieurs) liste à puce devrait structurer le contenu","c","c","nc|!F!Chaque ensemble de Q/R ne doit contenir qu'un seul élément `<dl>`qui contient plusieurs `<dt><dl>'. Dans les réponses, on devrait trouver des élements `<ul><li>` plutôt que des ""tirets et des sauts de ligne""","c",nc|Le menu dropdownMenuButton devrait être structuré en liste,"nc|Le menu dropdownMenuButton devrait être structuré en liste.
La liste des gestionnaire devrait également être structurée en <ul><li>"
"9","4","na","na","na","na","na","na",na,na
"10","1","c","c","c","c","nc|on trouve une balise `<font color=""#000000"">'. Les balises servant à la présentation de l’information sont interdites.","c",c,c
"10","2","c","c","c","c","nc|Les questions et les réponses ne sont pas affichées avec la css désactivée","c",c,nc|Le guide n'est pas affiché lorsque les css sont désactivées
"10","3","c","c","c","c","nc|Les questions et les réponses ne sont pas affichées avec la css désactivée","c",c,c
"10","4","c","c","c","c","c","c",c,"nc|La ""modale"" d'ajout de propriétaire ""déborde"" de l'écran et les boutons sont inateignables
En mobile, le libellé du bouton Valider ""déborde"" de sa boite et est illisible (blanc sur blanc)"
"10","5","c","c","c","c","c","c",c,c
"10","6","nc|!F!Les liens doivent être soulignés","nc|!F!Les liens doivent être soulignés","nc|!F!Les liens doivent être soulignés","nc|!F!Les liens doivent être soulignés","nc|!F!Les liens doivent être soulignés","nc|!F!Les liens doivent être soulignés",c,c
"10","7","nc|Aucun élément de la section ""Les actus de la mer"" ne prend le focus. Ça serait bien d'harmonisr l'outline (qui n'est pas le même sur tous les éléments)","nc|Le lien FC ne prend le focus. Ça serait bien d'harmonisr l'outline (qui n'est pas le même sur tous les éléments)","c","c","nc|!M!Aucun élément de la faq ne prend le focus. Le titre ""FAQ"" prend le focus alors qu'il ne devrait pas.","c",c,"nc|Aucun élément du bloc ""Composition de la nouvelle (co)propriété"" ne prend le focus"
"10","8","na","na","na","na","c","na",na,na
"10","9","c","c","c","c","c","c","nc|!F!La mention ""*"" au niveau du champ de formulaire n'est pas explicitée",c
"10","10","na","na","na","na","na","na",na,na
